season,season_type,game_id,week,game_date,team,opponent_team,qb_id,qb_name,dropbacks,attempts,completions,passing_yards,passing_tds,interceptions,epa_total,epa_per_play,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_completion,air_epa_total,yac_epa_total,air_epa_per_play,yac_epa_per_play,first_down_passes,explosive_passes,third_down_attempts,third_down_conversions,third_down_conversion_rate,red_zone_targets,red_zone_pass_tds
2020,POST,2020_18_BAL_TEN,18,2021-01-10,BAL,TEN,00-0034796,L.Jackson,29,29,17,165.0,0,1,1.7366358245482256,0.05988399394993881,13,0.4482758620689655,225.0,73.0,7.758620689655173,4.294117647058823,14.075749771320272,-8.766702862575494,0.4853706817696645,-0.3023000987094998,8.0,2,7,3,0.42857142857142855,3,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,27,27,18,158.0,1,1,-0.45103513760042624,-0.016705005096312082,12,0.4444444444444444,188.0,70.0,6.962962962962963,3.888888888888889,11.085422403353746,-9.413942167090898,0.41057120012421283,-0.3486645247070703,9.0,2,10,4,0.4,4,1
2020,POST,2020_18_CHI_NO,18,2021-01-10,CHI,NO,00-0033869,M.Trubisky,30,30,19,191.0,1,0,-2.4899858548306035,-0.08299952849435345,12,0.4,278.0,58.0,9.266666666666667,3.0526315789473686,11.569629348348816,-11.794540841830901,0.38565431161162717,-0.3931513613943634,8.0,2,9,1,0.1111111111111111,2,1
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,39,39,28,265.0,2,0,14.463354500825522,0.3708552436109108,20,0.5128205128205128,185.0,160.0,4.743589743589744,5.714285714285714,1.4371374444454308,13.02621705638012,0.03684967806270335,0.3340055655482082,14.0,2,13,9,0.6923076923076923,4,2
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0033357,T.Hill,1,1,0,-3.0,0,0,-6.10818244109396,-6.10818244109396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,CLE,PIT,00-0034855,B.Mayfield,34,34,21,263.0,3,0,14.29638738620711,0.42048198194726794,18,0.5294117647058824,231.0,170.0,6.794117647058823,8.095238095238095,18.975293843483076,-4.678906457275974,0.5580968777495022,-0.13761489580223452,12.0,3,9,4,0.4444444444444444,5,1
2020,POST,2020_18_CLE_PIT,18,2021-01-10,PIT,CLE,00-0022924,B.Roethlisberger,71,71,47,503.0,4,4,7.087173079035683,0.09981933914134765,38,0.5352112676056338,565.0,183.0,7.957746478873239,3.893617021276596,35.44985190208534,-27.521678823049662,0.4992936887617654,-0.38762927919788254,29.0,5,12,6,0.5,16,3
2020,POST,2020_18_IND_BUF,18,2021-01-09,BUF,IND,00-0034857,J.Allen,37,37,26,301.0,2,0,9.994116992727712,0.27011127007372193,19,0.5135135135135135,368.0,65.0,9.945945945945946,2.5,17.89104612363737,-4.779810575090042,0.4835417871253343,-0.12918406959702816,16.0,4,6,2,0.3333333333333333,2,1
2020,POST,2020_18_IND_BUF,18,2021-01-09,IND,BUF,00-0022942,P.Rivers,47,47,27,311.0,2,0,14.806330281863465,0.3150283038694354,21,0.44680851063829785,352.0,115.0,7.48936170212766,4.2592592592592595,17.695902989886225,-3.942572708022759,0.3765085742528984,-0.08388452570261189,17.0,5,15,8,0.5333333333333333,12,1
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0033106,J.Goff,21,21,9,140.0,1,0,1.8439253126229698,0.08780596726776047,10,0.47619047619047616,208.0,57.0,9.904761904761905,6.333333333333333,10.838095288432667,-5.16140481311596,0.5160997756396508,-0.2457811815769505,5.0,3,6,1,0.16666666666666666,2,1
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0034899,J.Wolford,7,7,3,29.0,0,0,-1.4503122497117191,-0.2071874642445313,2,0.2857142857142857,60.0,5.0,8.571428571428571,1.6666666666666667,5.016984578804109,-5.890225277282299,0.7167120826863014,-0.8414607538974713,2.0,0,1,0,0.0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,SEA,LA,00-0029263,R.Wilson,32,32,11,142.0,2,1,-15.527874723325104,-0.4852460851039095,8,0.25,392.0,40.0,12.25,3.6363636363636362,18.93007473589388,-27.991708498812837,0.5915648354966837,-0.8747408905879012,5.0,3,9,1,0.1111111111111111,1,1
2020,POST,2020_18_TB_WAS,18,2021-01-09,TB,WAS,00-0019596,T.Brady,43,43,22,365.0,2,0,19.551708368422382,0.4546908922888926,22,0.5116279069767442,461.0,119.0,10.720930232558139,5.409090909090909,39.00965570402334,-15.209999927365306,0.9072012954424032,-0.3537209285433792,18.0,7,13,6,0.46153846153846156,7,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,WAS,TB,00-0031800,T.Heinicke,47,47,26,289.0,1,1,-0.6473492495096809,-0.013773388287440019,18,0.3829787234042553,385.0,91.0,8.191489361702128,3.5,22.654998898739013,-20.141798157750713,0.4820212531646598,-0.4285488969734194,15.0,4,12,5,0.4166666666666667,8,1
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0034796,L.Jackson,27,27,14,138.0,0,1,-12.509404197199459,-0.4633112665629429,11,0.4074074074074074,161.0,57.0,5.962962962962963,4.071428571428571,14.36257609038493,-21.749646367954945,0.5319472626068493,-0.8055424580724053,4.0,3,6,1,0.16666666666666666,2,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0035993,T.Huntley,14,14,6,52.0,0,0,-6.528324411832733,-0.46630888655948094,4,0.2857142857142857,116.0,21.0,8.285714285714286,3.5,14.7992453397019,-19.837625855638187,1.05708895283585,-1.4169732754027276,3.0,1,3,1,0.3333333333333333,4,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BUF,BAL,00-0034857,J.Allen,39,39,23,188.0,1,0,-1.0680817009996864,-0.02738671028204324,15,0.38461538461538464,372.0,98.0,9.538461538461538,4.260869565217392,21.46607394173043,-19.14427253988099,0.5504121523520623,-0.49087878307387156,14.0,2,10,4,0.4,7,1
2020,POST,2020_19_CLE_KC,19,2021-01-17,CLE,KC,00-0034855,B.Mayfield,38,38,23,196.0,1,1,-5.400692005856542,-0.14212347383833004,11,0.2894736842105263,188.0,91.0,4.947368421052632,3.9565217391304346,6.228301424492967,-10.166780497704172,0.16390266906560438,-0.26754685520274135,11.0,5,10,3,0.3,7,1
2020,POST,2020_19_CLE_KC,19,2021-01-17,KC,CLE,00-0026197,C.Henne,9,9,6,60.0,0,1,0.0044409928657591635,0.0004934436517510182,4,0.4444444444444444,79.0,30.0,8.777777777777779,5.0,6.211047104413211,-5.747434491349841,0.6901163449348012,-0.6386038323722045,4.0,2,3,2,0.6666666666666666,2,0
2020,POST,2020_19_CLE_KC,19,2021-01-17,KC,CLE,00-0033873,P.Mahomes,30,30,21,255.0,1,0,10.520312138064801,0.3506770712688267,18,0.6,182.0,140.0,6.066666666666666,6.666666666666667,3.7559705609703142,6.806887361708525,0.12519901869901048,0.22689624539028416,12.0,4,3,1,0.3333333333333333,5,1
2020,POST,2020_19_LA_GB,19,2021-01-16,GB,LA,00-0023459,A.Rodgers,37,37,23,296.0,2,0,16.47800862715243,0.44535158451763324,23,0.6216216216216216,330.0,149.0,8.91891891891892,6.478260869565218,23.758122453407882,-6.333113826255426,0.6421114176596725,-0.17116523854744395,15.0,5,7,4,0.5714285714285714,6,1
2020,POST,2020_19_LA_GB,19,2021-01-16,GB,LA,00-0034162,J.Scott,1,1,0,0.0,0,0,-0.947,-0.947,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0
2020,POST,2020_19_LA_GB,19,2021-01-16,LA,GB,00-0033106,J.Goff,32,32,21,150.0,1,0,-0.9182997595197526,-0.02869686748499227,17,0.53125,142.0,52.0,4.4375,2.4761904761904763,3.5906795100599807,2.4908788649190687,0.1122087346893744,0.0778399645287209,11.0,2,6,1,0.16666666666666666,4,1
2020,POST,2020_19_TB_NO,19,2021-01-17,NO,TB,00-0020531,D.Brees,34,34,19,134.0,1,3,-26.100595422192253,-0.7676645712409487,12,0.35294117647058826,177.0,62.0,5.205882352941177,3.263157894736842,1.7284259620355384,-27.829021384227776,0.050836057706927604,-0.8185006289478758,6.0,0,7,2,0.2857142857142857,4,1
2020,POST,2020_19_TB_NO,19,2021-01-17,NO,TB,00-0031503,J.Winston,1,1,1,56.0,1,0,4.64410018059425,4.64410018059425,1,1.0,28.0,28.0,28.0,28.0,1.74332212086301,2.90077805973124,1.74332212086301,2.90077805973124,1.0,1,0,0,0.0,0,0
2020,POST,2020_19_TB_NO,19,2021-01-17,TB,NO,00-0019596,T.Brady,34,34,18,189.0,2,0,3.612923926973526,0.10626246844039781,17,0.5,318.0,95.0,9.352941176470589,5.277777777777778,16.956070706102768,-10.843501962276132,0.49870796194419903,-0.31892652830223917,13.0,1,13,6,0.46153846153846156,7,2
2020,POST,2020_20_BUF_KC,20,2021-01-24,BUF,KC,00-0034857,J.Allen,53,53,28,234.0,2,1,-8.704751441146211,-0.16424059322917378,24,0.4528301886792453,342.0,132.0,6.452830188679245,4.714285714285714,13.850236449867161,-12.73391565763638,0.26132521603522946,-0.2402625595780449,14.0,3,10,2,0.2,15,2
2020,POST,2020_20_BUF_KC,20,2021-01-24,KC,BUF,00-0033873,P.Mahomes,39,39,29,325.0,3,0,21.91608495216566,0.5619508962093759,26,0.6666666666666666,208.0,185.0,5.333333333333333,6.379310344827586,4.715673865284766,17.77035706767561,0.12091471449448118,0.4556501812224516,19.0,2,6,3,0.5,8,3
2020,POST,2020_20_TB_GB,20,2021-01-24,GB,TB,00-0023459,A.Rodgers,54,54,33,314.0,3,1,2.362523345236479,0.04375043231919405,26,0.48148148148148145,335.0,178.0,6.203703703703703,5.393939393939394,26.06704421213365,-15.865636698578234,0.48272304096543794,-0.29380808701070804,19.0,5,13,7,0.5384615384615384,12,2
2020,POST,2020_20_TB_GB,20,2021-01-24,TB,GB,00-0019596,T.Brady,37,37,20,275.0,3,3,9.331552681414417,0.25220412652471397,17,0.4594594594594595,416.0,103.0,11.243243243243244,5.15,32.98910054244337,-21.66397463359728,0.8915973119579288,-0.5855128279350617,12.0,4,12,7,0.5833333333333334,3,2
2020,POST,2020_21_KC_TB,21,2021-02-07,KC,TB,00-0033873,P.Mahomes,52,52,26,243.0,0,2,-14.088996285464578,-0.2709422362589342,19,0.36538461538461536,382.0,139.0,7.346153846153846,5.346153846153846,31.056925743643678,-40.46500092926106,0.5972485719931476,-0.778173094793482,12.0,3,12,2,0.16666666666666666,8,0
2020,POST,2020_21_KC_TB,21,2021-02-07,TB,KC,00-0019596,T.Brady,30,30,21,195.0,3,0,8.748573280230632,0.2916191093410211,17,0.5666666666666667,176.0,129.0,5.866666666666666,6.142857142857143,8.654691758914856,1.7390471812686874,0.2884897252971619,0.05796823937562291,12.0,2,7,2,0.2857142857142857,7,3
2020,REG,2020_01_ARI_SF,1,2020-09-13,ARI,SF,00-0035228,K.Murray,42,42,26,224.0,1,1,-3.1641358095553067,-0.07533656689417396,18,0.42857142857142855,192.0,133.0,4.571428571428571,5.115384615384615,0.4597281332244363,-1.6245891609777856,0.01094590793391515,-0.038680694308994894,12.0,1,11,4,0.36363636363636365,1,1
2020,REG,2020_01_ARI_SF,1,2020-09-13,SF,ARI,00-0031345,J.Garoppolo,36,36,19,243.0,2,0,0.37699550416200456,0.01047209733783346,16,0.4444444444444444,220.0,161.0,6.111111111111111,8.473684210526315,10.426476723043384,-5.827595561128508,0.2896243534178718,-0.1618776544757919,10.0,2,10,2,0.2,8,1
2020,REG,2020_01_CHI_DET,1,2020-09-13,CHI,DET,00-0033869,M.Trubisky,37,37,20,214.0,3,0,2.509655936934851,0.06782853883607705,17,0.4594594594594595,349.0,81.0,9.432432432432432,4.05,31.370350891113052,-27.057731706189834,0.8478473213814338,-0.7312900461132388,15.0,3,10,2,0.2,11,2
2020,REG,2020_01_CHI_DET,1,2020-09-13,DET,CHI,00-0026498,M.Stafford,43,43,24,288.0,1,1,2.0176983728598317,0.046923217973484456,19,0.4418604651162791,372.0,129.0,8.651162790697674,5.375,28.534024188411422,-24.36254738629205,0.663581957870033,-0.5665708694486523,14.0,5,14,6,0.42857142857142855,7,1
2020,REG,2020_01_CLE_BAL,1,2020-09-13,BAL,CLE,00-0029665,R.Griffin,1,1,1,9.0,0,0,-0.906517566880211,-0.906517566880211,0,0.0,5.0,4.0,5.0,4.0,-0.683194922283292,-0.223322644596919,-0.683194922283292,-0.223322644596919,1.0,0,1,1,1.0,0,0
2020,REG,2020_01_CLE_BAL,1,2020-09-13,BAL,CLE,00-0034796,L.Jackson,27,27,20,261.0,3,0,14.667141989124163,0.5432274810786727,15,0.5555555555555556,252.0,73.0,9.333333333333334,3.65,23.755742748006025,-5.5894870722662695,0.8798423240002231,-0.20701803971356553,15.0,5,8,4,0.5,8,3
2020,REG,2020_01_CLE_BAL,1,2020-09-13,CLE,BAL,00-0034855,B.Mayfield,41,41,21,168.0,1,1,-10.64684280680269,-0.2596790928488461,15,0.36585365853658536,358.0,34.0,8.731707317073171,1.619047619047619,27.048743423772976,-32.185972200909255,0.6597254493603165,-0.7850237122172989,10.0,3,12,3,0.25,1,1
2020,REG,2020_01_DAL_LA,1,2020-09-13,DAL,LA,00-0033077,D.Prescott,42,42,25,244.0,1,0,-5.030475752620996,-0.1197732322052618,19,0.4523809523809524,283.0,114.0,6.738095238095238,4.56,5.110714889655359,-4.555467648100603,0.12168368784893711,-0.10846351543096673,14.0,2,8,1,0.125,6,1
2020,REG,2020_01_DAL_LA,1,2020-09-13,LA,DAL,00-0033106,J.Goff,32,32,20,269.0,0,1,4.942996442904709,0.15446863884077217,16,0.5,140.0,195.0,4.375,9.75,1.6660668647964456,5.2447717285878275,0.052064589524888925,0.1638991165183696,12.0,5,11,5,0.45454545454545453,8,0
2020,REG,2020_01_GB_MIN,1,2020-09-13,GB,MIN,00-0023459,A.Rodgers,44,44,32,364.0,4,0,17.967952948771668,0.4083625670175379,24,0.5454545454545454,391.0,155.0,8.886363636363637,4.84375,23.219089998921845,-5.251137050150182,0.5277065908845874,-0.11934402386704958,17.0,5,9,5,0.5555555555555556,12,2
2020,REG,2020_01_GB_MIN,1,2020-09-13,MIN,GB,00-0029604,K.Cousins,28,28,19,250.0,2,1,7.716736441353032,0.2755977300483226,17,0.6071428571428571,267.0,72.0,9.535714285714286,3.789473684210526,16.59796253475361,-6.295648899680316,0.5927843762412003,-0.2248446035600113,12.0,5,5,2,0.4,2,1
2020,REG,2020_01_HOU_KC,1,2020-09-10,HOU,KC,00-0033537,D.Watson,37,37,20,242.0,1,1,3.517922989205266,0.09507899970825044,19,0.5135135135135135,283.0,132.0,7.648648648648648,6.6,18.53565383178648,-9.308699655743498,0.5009636170753102,-0.2515864771822567,13.0,3,5,1,0.2,4,1
2020,REG,2020_01_HOU_KC,1,2020-09-10,KC,HOU,00-0033873,P.Mahomes,33,33,24,203.0,3,0,13.98782933969052,0.4238736163542582,21,0.6363636363636364,147.0,133.0,4.454545454545454,5.541666666666667,0.41942144109635837,15.622815298906033,0.012709740639283587,0.47341864542139495,16.0,0,9,6,0.6666666666666666,8,3
2020,REG,2020_01_IND_JAX,1,2020-09-13,IND,JAX,00-0022942,P.Rivers,46,46,36,363.0,1,2,9.91244937595373,0.21548802991203764,26,0.5652173913043478,289.0,212.0,6.282608695652174,5.888888888888889,16.736029060994046,-6.823579685040292,0.36382671871726185,-0.14833868880522375,17.0,4,10,4,0.4,7,1
2020,REG,2020_01_IND_JAX,1,2020-09-13,IND,JAX,00-0033119,J.Brissett,1,1,0,-6.0,0,0,-1.98417688993504,-1.98417688993504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0
2020,REG,2020_01_IND_JAX,1,2020-09-13,JAX,IND,00-0035289,G.Minshew,24,24,19,150.0,3,0,8.492176140200808,0.353840672508367,14,0.5833333333333334,89.0,98.0,3.7083333333333335,5.157894736842105,-0.2277182118850838,16.26855261146556,-0.009488258828545157,0.677856358811065,11.0,2,8,4,0.5,2,2
2020,REG,2020_01_LAC_CIN,1,2020-09-13,CIN,LAC,00-0036442,J.Burrow,39,39,23,173.0,0,1,-6.345612661320979,-0.1627080169569482,18,0.46153846153846156,291.0,83.0,7.461538461538462,3.608695652173913,19.46724212801201,-20.95364469745712,0.49916005456441054,-0.537272940960439,14.0,0,11,5,0.45454545454545453,3,0
2020,REG,2020_01_LAC_CIN,1,2020-09-13,LAC,CIN,00-0028118,T.Taylor,32,32,16,207.0,0,0,-0.1912330587976574,-0.005976033087426794,13,0.40625,335.0,80.0,10.46875,5.0,33.07408340013354,-31.761926423804834,1.033565106254173,-0.992560200743901,10.0,3,12,4,0.3333333333333333,4,0
2020,REG,2020_01_LV_CAR,1,2020-09-13,CAR,LV,00-0031237,T.Bridgewater,36,36,22,261.0,1,0,6.376942074663496,0.17713727985176378,16,0.4444444444444444,279.0,137.0,7.75,6.2272727272727275,11.279656337370408,-4.006982900818564,0.313323787149178,-0.11130508057829343,13.0,1,10,5,0.5,3,0
2020,REG,2020_01_LV_CAR,1,2020-09-13,LV,CAR,00-0031280,D.Carr,30,30,22,239.0,1,0,10.777473835721556,0.3592491278573852,17,0.5666666666666667,166.0,158.0,5.533333333333333,7.181818181818182,0.5599164133259409,10.21755742239564,0.01866388044419803,0.34058524741318796,11.0,3,8,4,0.5,4,0
2020,REG,2020_01_MIA_NE,1,2020-09-13,MIA,NE,00-0023682,R.Fitzpatrick,31,31,20,182.0,0,3,-8.427611074317511,-0.2718584217521778,15,0.4838709677419355,251.0,59.0,8.096774193548388,2.95,13.583272057469003,-20.791814991296526,0.43817006636996786,-0.6707037093966621,11.0,2,8,2,0.25,2,0
2020,REG,2020_01_MIA_NE,1,2020-09-13,NE,MIA,00-0027939,C.Newton,21,21,15,140.0,0,0,-3.405873755691565,-0.16218446455674118,12,0.5714285714285714,101.0,88.0,4.809523809523809,5.866666666666666,1.9401097506051947,-0.965488160378297,0.09238617860024737,-0.04597562668468081,8.0,1,2,0,0.0,2,0
2020,REG,2020_01_NYJ_BUF,1,2020-09-13,BUF,NYJ,00-0034857,J.Allen,49,49,33,306.0,2,0,13.801008509911425,0.2816532348961515,27,0.5510204081632653,279.0,137.0,5.6938775510204085,4.151515151515151,17.636324258171946,-0.12572074032372127,0.35992498486065194,-0.0025657293943616584,17.0,3,11,6,0.5454545454545454,15,2
2020,REG,2020_01_NYJ_BUF,1,2020-09-13,NYJ,BUF,00-0034869,S.Darnold,38,38,21,202.0,1,1,-8.658795142698029,-0.22786303007100076,14,0.3684210526315789,257.0,139.0,6.7631578947368425,6.619047619047619,8.932233831001216,-13.851032952632519,0.2350587850263478,-0.36450086717453994,8.0,3,10,3,0.3,3,0
2020,REG,2020_01_PHI_WAS,1,2020-09-13,PHI,WAS,00-0032950,C.Wentz,50,50,24,208.0,2,2,-19.575955702290127,-0.39151911404580253,17,0.34,520.0,113.0,10.4,4.708333333333333,34.526011253910845,-35.3264217764372,0.6905202250782169,-0.706528435528744,13.0,4,12,4,0.3333333333333333,4,1
2020,REG,2020_01_PHI_WAS,1,2020-09-13,WAS,PHI,00-0035232,D.Haskins,34,34,17,159.0,1,0,-3.4585974174300236,-0.10172345345382422,11,0.3235294117647059,248.0,95.0,7.294117647058823,5.588235294117647,13.204258337995272,-11.686537031437501,0.3883605393528021,-0.34372167739522064,11.0,1,12,3,0.25,6,1
2020,REG,2020_01_PIT_NYG,1,2020-09-14,NYG,PIT,00-0035710,D.Jones,45,45,26,262.0,2,2,-1.2848461603911971,-0.02855213689758216,20,0.4444444444444444,232.0,116.0,5.155555555555556,4.461538461538462,18.43546969632734,-14.809664318124838,0.4096771043628297,-0.3291036515138853,16.0,2,12,7,0.5833333333333334,11,1
