season,season_type,team,qb_id,qb_name,wr_id,wr_name,targets,receptions,receiving_yards,receiving_tds,epa_total,epa_per_target,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_reception,first_downs,explosive_plays,red_zone_targets,red_zone_tds
2020,POST,PIT,00-0022924,B.Roethlisberger,00-0035216,Di.Johnson,16,11,117.0,0,-0.2412823962804368,-0.0150801497675273,9,0.5625,183.0,28.0,11.4375,2.5454545454545454,8.0,0,2,0
2020,POST,PIT,00-0022924,B.Roethlisberger,00-0035217,B.Snell,2,1,4.0,0,-6.046141547383744,-3.023070773691872,0,0.0,1.0,4.0,0.5,4.0,0.0,0,0,0
2020,POST,PIT,00-0022924,B.Roethlisberger,00-0036326,C.Claypool,7,5,59.0,2,4.773106623321303,0.6818723747601861,4,0.5714285714285714,71.0,13.0,10.142857142857142,2.6,3.0,1,3,1
2020,POST,IND,00-0022942,P.Rivers,00-0029608,T.Hilton,5,2,32.0,0,-0.18306634214241474,-0.03661326842848295,2,0.4,81.0,9.0,16.2,4.5,1.0,1,0,0
2020,POST,IND,00-0022942,P.Rivers,00-0030181,J.Doyle,10,7,70.0,1,5.5949051170465465,0.5594905117046547,6,0.6,71.0,10.0,7.1,1.4285714285714286,4.0,1,2,0
2020,POST,IND,00-0022942,P.Rivers,00-0030710,T.Burton,3,3,34.0,0,4.288265421491815,1.4294218071639382,2,0.6666666666666666,29.0,5.0,9.666666666666666,1.6666666666666667,2.0,0,1,0
2020,POST,IND,00-0022942,P.Rivers,00-0033217,M.Alie-Cox,4,4,32.0,0,3.152781474520454,0.7881953686301135,2,0.5,24.0,8.0,6.0,2.0,2.0,0,2,0
2020,POST,IND,00-0022942,P.Rivers,00-0033251,Z.Pascal,5,3,37.0,1,3.7268039165064755,0.7453607833012951,3,0.6,38.0,11.0,7.6,3.6666666666666665,3.0,0,1,1
2020,POST,IND,00-0022942,P.Rivers,00-0034367,N.Hines,3,1,8.0,0,0.8168511367985011,0.27228371226616704,1,0.3333333333333333,3.0,4.0,1.0,4.0,1.0,0,1,0
2020,POST,IND,00-0022942,P.Rivers,00-0036223,J.Taylor,4,2,6.0,0,-1.4158343663038717,-0.35395859157596793,1,0.25,-10.0,14.0,-2.5,7.0,1.0,0,2,0
2020,POST,IND,00-0022942,P.Rivers,00-0036252,M.Pittman,10,5,90.0,0,-0.13767516638778934,-0.013767516638778935,4,0.4,66.0,54.0,6.6,10.8,3.0,3,3,0
2020,POST,GB,00-0023459,A.Rodgers,00-0024243,M.Lewis,3,3,28.0,0,2.301126225269397,0.7670420750897989,3,1.0,12.0,16.0,4.0,5.333333333333333,1.0,0,0,0
2020,POST,GB,00-0023459,A.Rodgers,00-0031381,D.Adams,25,18,133.0,2,8.6763023218988,0.347052092875952,15,0.6,115.0,72.0,4.6,4.0,9.0,1,9,2
2020,POST,GB,00-0023459,A.Rodgers,00-0033293,A.Jones,9,5,21.0,0,-8.670838864942084,-0.9634265405491205,3,0.3333333333333333,-8.0,29.0,-0.8888888888888888,5.8,2.0,0,1,0
2020,POST,GB,00-0023459,A.Rodgers,00-0033757,R.Tonyan,8,8,82.0,1,5.331237313395832,0.666404664174479,7,0.875,37.0,45.0,4.625,5.625,4.0,1,1,1
2020,POST,GB,00-0023459,A.Rodgers,00-0033948,J.Williams,4,4,22.0,0,0.5113606134546,0.12784015336365,2,0.5,-4.0,26.0,-1.0,6.5,1.0,0,0,0
2020,POST,GB,00-0023459,A.Rodgers,00-0034272,M.Valdes-Scantling,14,8,148.0,1,8.374415318389246,0.598172522742089,9,0.6428571428571429,246.0,57.0,17.571428571428573,7.125,7.0,3,1,0
2020,POST,GB,00-0023459,A.Rodgers,00-0034279,E.St. Brown,4,2,37.0,0,2.458229129362851,0.6145572823407127,2,0.5,31.0,13.0,7.75,6.5,2.0,1,1,0
2020,POST,GB,00-0023459,A.Rodgers,00-0034521,A.Lazard,14,7,158.0,1,9.6752944154803,0.6910924582485929,7,0.5,196.0,58.0,14.0,8.285714285714286,7.0,4,4,0
2020,POST,GB,00-0023459,A.Rodgers,00-0036265,A.Dillon,1,1,13.0,0,0.717395588057116,0.717395588057116,1,1.0,2.0,11.0,2.0,11.0,1.0,0,0,0
2020,POST,KC,00-0026197,C.Henne,00-0030506,T.Kelce,2,2,29.0,0,1.4842788184457902,0.7421394092228951,1,0.5,14.0,15.0,7.0,7.5,1.0,1,1,0
2020,POST,KC,00-0026197,C.Henne,00-0032775,D.Robinson,2,0,0.0,0,-4.221942491945814,-2.110971245972907,0,0.0,43.0,0.0,21.5,0.0,0.0,0,1,0
2020,POST,KC,00-0026197,C.Henne,00-0033040,T.Hill,3,3,32.0,0,2.726360710046726,0.9087869033489087,2,0.6666666666666666,26.0,6.0,8.666666666666666,2.0,2.0,1,0,0
2020,POST,KC,00-0026197,C.Henne,00-0034301,Darr.Williams,1,1,5.0,0,0.474915576516651,0.474915576516651,1,1.0,-4.0,9.0,-4.0,9.0,1.0,0,0,0
2020,POST,SEA,00-0029263,R.Wilson,00-0032211,T.Lockett,4,2,43.0,0,1.493776188930499,0.37344404723262475,2,0.5,84.0,5.0,21.0,2.5,2.0,1,0,0
2020,POST,SEA,00-0029263,R.Wilson,00-0033387,J.Hollister,5,0,0.0,0,-3.7901300119701746,-0.758026002394035,0,0.0,61.0,0.0,12.2,0.0,0.0,0,0,0
2020,POST,SEA,00-0029263,R.Wilson,00-0033589,D.Moore,1,1,1.0,0,-0.608087200671434,-0.608087200671434,0,0.0,-4.0,5.0,-4.0,5.0,0.0,0,0,0
2020,POST,SEA,00-0029263,R.Wilson,00-0033594,C.Carson,2,1,5.0,0,-2.2444441522975254,-1.1222220761487627,1,0.5,25.0,9.0,12.5,9.0,0.0,0,0,0
2020,POST,SEA,00-0029263,R.Wilson,00-0034159,W.Dissly,2,1,1.0,0,-1.178845605812967,-0.5894228029064835,0,0.0,5.0,1.0,2.5,1.0,0.0,0,0,0
2020,POST,SEA,00-0029263,R.Wilson,00-0035640,D.Metcalf,11,5,96.0,2,-5.029191884619659,-0.4571992622381508,4,0.36363636363636365,196.0,20.0,17.818181818181817,4.0,2.0,1,1,1
2020,POST,SEA,00-0029263,R.Wilson,00-0036247,F.Swain,1,1,28.0,0,2.85528818180319,2.85528818180319,1,1.0,28.0,0.0,28.0,0.0,1.0,1,0,0
2020,POST,TEN,00-0029701,R.Tannehill,00-0029701,R.Tannehill,1,1,-10.0,0,-1.11917399044614,-1.11917399044614,0,0.0,-10.0,0.0,-10.0,0.0,0.0,0,0,0
2020,POST,TEN,00-0029701,R.Tannehill,00-0032141,G.Swaim,1,1,5.0,0,0.0059380107559263,0.0059380107559263,1,1.0,5.0,0.0,5.0,0.0,0.0,0,0,0
2020,POST,TEN,00-0029701,R.Tannehill,00-0032464,K.Raymond,1,0,0.0,0,-2.70376658870373,-2.70376658870373,0,0.0,23.0,0.0,23.0,0.0,0.0,0,0,0
2020,POST,TEN,00-0029701,R.Tannehill,00-0032764,D.Henry,3,3,11.0,0,-0.975723894184992,-0.32524129806166396,2,0.6666666666666666,3.0,8.0,1.0,2.6666666666666665,0.0,0,1,0
2020,POST,TEN,00-0029701,R.Tannehill,00-0033455,A.Firkser,2,2,44.0,0,3.8602584861219,1.93012924306095,2,1.0,9.0,35.0,4.5,17.5,2.0,1,1,0
2020,POST,TEN,00-0029701,R.Tannehill,00-0033858,J.Smith,3,2,9.0,0,-1.91588749107905,-0.6386291636930167,0,0.0,8.0,2.0,2.6666666666666665,1.0,0.0,0,0,0
2020,POST,TEN,00-0029701,R.Tannehill,00-0033871,C.Davis,2,0,0.0,0,-3.24862996457155,-1.624314982285775,0,0.0,12.0,0.0,6.0,0.0,0.0,0,0,0
2020,POST,TEN,00-0029701,R.Tannehill,00-0034652,C.Batson,1,1,6.0,0,1.40626233327203,1.40626233327203,1,1.0,4.0,2.0,4.0,2.0,1.0,0,0,0
2020,POST,TEN,00-0029701,R.Tannehill,00-0035676,A.Brown,10,6,83.0,1,5.707264378026597,0.5707264378026597,5,0.5,119.0,21.0,11.9,3.5,5.0,1,2,1
2020,POST,TEN,00-0029701,R.Tannehill,00-0036182,N.Westbrook-Ikhine,2,2,17.0,0,0.654938957071863,0.3274694785359315,1,0.5,15.0,2.0,7.5,1.0,1.0,0,0,0
2020,POST,NO,00-0031503,J.Winston,00-0034765,T.Smith,1,1,56.0,1,4.64410018059425,4.64410018059425,1,1.0,28.0,28.0,28.0,28.0,1.0,1,0,0
2020,POST,WAS,00-0031800,T.Heinicke,00-0031260,L.Thomas,10,5,74.0,0,-1.976479950590126,-0.1976479950590126,3,0.3,107.0,29.0,10.7,5.8,3.0,2,3,0
2020,POST,WAS,00-0031800,T.Heinicke,00-0032602,J.McKissic,3,2,8.0,0,-0.8618224312085654,-0.2872741437361885,1,0.3333333333333333,-5.0,14.0,-1.6666666666666667,7.0,0.0,0,0,0
2020,POST,WAS,00-0031800,T.Heinicke,00-0033528,J.Sprinkle,1,1,8.0,0,0.423322477377951,0.423322477377951,1,1.0,2.0,6.0,2.0,6.0,0.0,0,0,0
2020,POST,WAS,00-0031800,T.Heinicke,00-0034104,C.Sims,13,7,104.0,0,2.6851192047470245,0.2065476311343865,6,0.46153846153846156,160.0,23.0,12.307692307692308,3.2857142857142856,5.0,2,2,0
2020,POST,WAS,00-0031800,T.Heinicke,00-0034928,S.Sims,4,3,33.0,1,4.44317284127465,1.1107932103186624,2,0.5,37.0,1.0,9.25,0.3333333333333333,2.0,0,2,1
2020,POST,WAS,00-0031800,T.Heinicke,00-0035659,T.McLaurin,7,6,75.0,0,0.464090924593634,0.06629870351337629,5,0.7142857142857143,71.0,9.0,10.142857142857142,1.5,5.0,0,0,0
2020,POST,WAS,00-0031800,T.Heinicke,00-0036142,I.Wright,1,0,0.0,0,-0.448241154430434,-0.448241154430434,0,0.0,15.0,0.0,15.0,0.0,0.0,0,0,0
2020,POST,WAS,00-0031800,T.Heinicke,00-0036328,A.Gibson,3,2,4.0,0,-1.359568887972273,-0.45318962932409096,0,0.0,0.0,9.0,0.0,4.5,0.0,0,0,0
2020,POST,LA,00-0033106,J.Goff,00-0030431,R.Woods,17,12,96.0,1,2.0726420087157704,0.1219201181597512,11,0.6470588235294118,71.0,23.0,4.176470588235294,1.9166666666666667,8.0,1,2,1
2020,POST,LA,00-0033106,J.Goff,00-0031806,M.Brown,2,2,13.0,0,0.228407566261012,0.114203783130506,1,0.5,5.0,8.0,2.5,4.0,0.0,0,0,0
2020,POST,LA,00-0033106,J.Goff,00-0033110,T.Higbee,5,3,9.0,0,-1.8415159315336505,-0.3683031863067301,1,0.2,35.0,0.0,7.0,0.0,0.0,0,0,0
2020,POST,LA,00-0033106,J.Goff,00-0033895,G.Everett,1,0,0.0,0,-0.652858742978424,-0.652858742978424,0,0.0,5.0,0.0,5.0,0.0,0.0,0,0,0
2020,POST,LA,00-0033106,J.Goff,00-0033908,C.Kupp,6,2,50.0,0,0.7792986861895741,0.12988311436492903,2,0.3333333333333333,124.0,4.0,20.666666666666668,2.0,1.0,1,0,0
2020,POST,LA,00-0033106,J.Goff,00-0033943,J.Reynolds,4,3,65.0,0,4.0835968980099935,1.0208992245024984,3,0.75,47.0,23.0,11.75,7.666666666666667,3.0,2,0,0
2020,POST,LA,00-0033106,J.Goff,00-0036414,C.Akers,3,2,50.0,0,5.08155147141963,1.69385049047321,3,1.0,9.0,41.0,3.0,20.5,1.0,1,2,0
2020,POST,LA,00-0033106,J.Goff,00-0036415,V.Jefferson,7,6,46.0,1,3.70134227426024,0.5287631820371772,5,0.7142857142857143,36.0,10.0,5.142857142857143,1.6666666666666667,3.0,0,1,1
2020,POST,CHI,00-0033869,M.Trubisky,00-0027696,J.Graham,2,2,25.0,1,4.0147492753458245,2.0073746376729122,1,0.5,21.0,4.0,10.5,2.0,1.0,0,1,1
2020,POST,CHI,00-0033869,M.Trubisky,00-0031428,A.Robinson,7,6,55.0,0,2.5652075358666524,0.3664582194095218,4,0.5714285714285714,53.0,13.0,7.571428571428571,2.1666666666666665,2.0,1,0,0
2020,POST,CHI,00-0033869,M.Trubisky,00-0031763,D.Carter,4,3,17.0,0,-2.2247434955788847,-0.5561858738947212,2,0.5,24.0,5.0,6.0,1.6666666666666667,1.0,0,0,0
2020,POST,CHI,00-0033869,M.Trubisky,00-0034353,A.Miller,3,2,22.0,0,-1.015258593717593,-0.3384195312391977,1,0.3333333333333333,29.0,1.0,9.666666666666666,0.5,1.0,0,0,0
2020,POST,CHI,00-0033869,M.Trubisky,00-0034426,J.Wims,4,1,28.0,0,-1.071921626571568,-0.267980406642892,1,0.25,114.0,2.0,28.5,2.0,1.0,1,0,0
2020,POST,CHI,00-0033869,M.Trubisky,00-0035590,R.Ridley,2,2,36.0,0,2.39655049348948,1.19827524674474,2,1.0,18.0,18.0,9.0,9.0,2.0,0,0,0
2020,POST,CHI,00-0033869,M.Trubisky,00-0035685,D.Montgomery,1,0,0.0,0,-1.32977557415143,-1.32977557415143,0,0.0,4.0,0.0,4.0,0.0,0.0,0,0,0
2020,POST,CHI,00-0033869,M.Trubisky,00-0036290,C.Kmet,4,3,16.0,0,-2.4041743400739533,-0.6010435850184883,1,0.25,1.0,15.0,0.25,5.0,0.0,0,1,0
2020,POST,KC,00-0033873,P.Mahomes,00-0030496,L.Bell,3,0,0.0,0,-2.674560021206868,-0.891520007068956,0,0.0,22.0,0.0,7.333333333333333,0.0,0.0,0,2,0
2020,POST,KC,00-0033873,P.Mahomes,00-0030506,T.Kelce,38,29,331.0,3,17.960844301096135,0.4726537973972667,27,0.7105263157894737,287.0,116.0,7.552631578947368,4.0,18.0,3,8,3
2020,POST,KC,00-0033873,P.Mahomes,00-0031325,S.Watkins,1,1,13.0,0,0.956382189644501,0.956382189644501,1,1.0,12.0,1.0,12.0,1.0,1.0,0,0,0
2020,POST,KC,00-0033873,P.Mahomes,00-0032775,D.Robinson,3,2,25.0,0,3.505128989781949,1.1683763299273162,2,0.6666666666666666,32.0,4.0,10.666666666666666,2.0,2.0,0,1,0
2020,POST,KC,00-0033873,P.Mahomes,00-0033040,T.Hill,28,21,323.0,0,14.57796619738321,0.5206416499065433,19,0.6785714285714286,282.0,180.0,10.071428571428571,8.571428571428571,13.0,5,4,0
2020,POST,KC,00-0033873,P.Mahomes,00-0034192,N.Keizer,1,0,0.0,0,-0.461384366964921,-0.461384366964921,0,0.0,4.0,0.0,4.0,0.0,0.0,0,0,0
2020,POST,KC,00-0033873,P.Mahomes,00-0034297,B.Pringle,10,6,39.0,0,-0.9923920392757279,-0.0992392039275728,4,0.4,55.0,13.0,5.5,2.1666666666666665,2.0,0,1,0
2020,POST,KC,00-0033873,P.Mahomes,00-0034301,Darr.Williams,11,6,30.0,0,-5.0357296756454,-0.45779360687685455,4,0.36363636363636365,-4.0,44.0,-0.36363636363636365,7.333333333333333,2.0,0,2,0
2020,POST,KC,00-0033873,P.Mahomes,00-0035140,M.Hardman,13,8,66.0,1,-0.44421736622462255,-0.034170566632663275,4,0.3076923076923077,43.0,82.0,3.3076923076923075,10.25,4.0,1,2,1
2020,POST,KC,00-0033873,P.Mahomes,00-0036360,C.Edwards-Helaire,5,3,23.0,0,-1.749313269646561,-0.3498626539293122,2,0.4,16.0,24.0,3.2,8.0,1.0,0,0,0
2020,POST,GB,00-0034162,J.Scott,00-0025580,M.Crosby,1,0,0.0,0,-0.947,-0.947,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
2020,POST,BAL,00-0034796,L.Jackson,00-0027902,D.Bryant,1,0,0.0,0,-0.229776511201635,-0.229776511201635,0,0.0,7.0,0.0,7.0,0.0,0.0,0,0,0
2020,POST,BAL,00-0034796,L.Jackson,00-0030663,W.Snead,5,5,27.0,0,0.5072422698722221,0.10144845397444442,3,0.6,15.0,12.0,3.0,2.4,0.0,0,0,0
2020,POST,BAL,00-0034796,L.Jackson,00-0033376,P.Ricard,5,4,37.0,0,2.201428479515017,0.44028569590300337,4,0.8,4.0,33.0,0.8,8.25,2.0,0,1,0
2020,POST,BAL,00-0034796,L.Jackson,00-0034753,M.Andrews,14,8,69.0,0,-10.666272079669962,-0.761876577119283,4,0.2857142857142857,90.0,25.0,6.428571428571429,3.125,3.0,0,2,0
2020,POST,BAL,00-0034796,L.Jackson,00-0035662,M.Brown,14,10,167.0,0,10.161978847402793,0.7258556319573424,10,0.7142857142857143,209.0,43.0,14.928571428571429,4.3,6.0,4,1,0
2020,POST,BAL,00-0034796,L.Jackson,00-0035703,M.Boykin,4,2,16.0,0,-2.125332507711478,-0.5313331269278695,2,0.5,50.0,5.0,12.5,2.5,0.0,0,0,0
2020,POST,BAL,00-0034796,L.Jackson,00-0036158,J.Dobbins,3,2,25.0,0,0.6237106994376509,0.20790356647921696,1,0.3333333333333333,22.0,12.0,7.333333333333333,6.0,1.0,1,0,0
