season,season_type,player_id,player_name,team,targets,receptions,receiving_yards,receiving_tds,epa_total,epa_per_target,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_reception,first_downs,explosive_plays,red_zone_targets,red_zone_tds
2020,POST,00-0032209,T.Yeldon,BUF,5,4,41.0,0,0.43760299438145095,0.08752059887629018,3,0.6,15.0,32.0,3.0,8.0,1.0,1,1,0
2020,POST,00-0032211,T.Lockett,SEA,4,2,43.0,0,1.493776188930499,0.37344404723262475,2,0.5,84.0,5.0,21.0,2.5,2.0,1,0,0
2020,POST,00-0032392,A.Hooper,CLE,14,9,62.0,1,5.757325471485151,0.4112375336775108,8,0.5714285714285714,118.0,11.0,8.428571428571429,1.2222222222222223,5.0,0,5,1
2020,POST,00-0032419,J.Haeg,TB,1,0,0.0,0,-0.870834263565484,-0.870834263565484,0,0.0,2.0,0.0,2.0,0.0,0.0,0,1,0
2020,POST,00-0032464,K.Raymond,TEN,1,0,0.0,0,-2.70376658870373,-2.70376658870373,0,0.0,23.0,0.0,23.0,0.0,0.0,0,0,0
2020,POST,00-0032602,J.McKissic,WAS,3,2,8.0,0,-0.8618224312085654,-0.2872741437361885,1,0.3333333333333333,-5.0,14.0,-1.6666666666666667,7.0,0.0,0,0,0
2020,POST,00-0032764,D.Henry,TEN,3,3,11.0,0,-0.975723894184992,-0.32524129806166396,2,0.6666666666666666,3.0,8.0,1.0,2.6666666666666665,0.0,0,1,0
2020,POST,00-0032765,M.Thomas,NO,11,5,73.0,1,-5.309174717870714,-0.48265224707915577,4,0.36363636363636365,87.0,25.0,7.909090909090909,5.0,3.0,1,3,1
2020,POST,00-0032775,D.Robinson,KC,5,2,25.0,0,-0.7168135021638653,-0.14336270043277305,2,0.4,75.0,4.0,15.0,2.0,2.0,0,2,0
2020,POST,00-0032977,R.Higgins,CLE,14,7,116.0,0,-1.8553876585792906,-0.13252768989852076,5,0.35714285714285715,162.0,28.0,11.571428571428571,4.0,5.0,2,1,0
2020,POST,00-0033040,T.Hill,KC,31,24,355.0,0,17.304326907429935,0.5582040937880625,21,0.6774193548387096,308.0,186.0,9.935483870967742,7.75,15.0,6,4,0
2020,POST,00-0033110,T.Higbee,LA,5,3,9.0,0,-1.8415159315336505,-0.3683031863067301,1,0.2,35.0,0.0,7.0,0.0,0.0,0,0,0
2020,POST,00-0033217,M.Alie-Cox,IND,4,4,32.0,0,3.152781474520454,0.7881953686301135,2,0.5,24.0,8.0,6.0,2.0,2.0,0,2,0
2020,POST,00-0033251,Z.Pascal,IND,5,3,37.0,1,3.7268039165064755,0.7453607833012951,3,0.6,38.0,11.0,7.6,3.6666666666666665,3.0,0,1,1
2020,POST,00-0033293,A.Jones,GB,9,5,21.0,0,-8.670838864942084,-0.9634265405491205,3,0.3333333333333333,-8.0,29.0,-0.8888888888888888,5.8,2.0,0,1,0
2020,POST,00-0033357,T.Hill,NO,2,2,5.0,0,-0.9312040391378104,-0.4656020195689052,0,0.0,1.0,4.0,0.5,2.0,0.0,0,0,0
2020,POST,00-0033376,P.Ricard,BAL,5,4,37.0,0,2.201428479515017,0.44028569590300337,4,0.8,4.0,33.0,0.8,8.25,2.0,0,1,0
2020,POST,00-0033387,J.Hollister,SEA,5,0,0.0,0,-3.7901300119701746,-0.758026002394035,0,0.0,61.0,0.0,12.2,0.0,0.0,0,0,0
2020,POST,00-0033455,A.Firkser,TEN,2,2,44.0,0,3.8602584861219,1.93012924306095,2,1.0,9.0,35.0,4.5,17.5,2.0,1,1,0
2020,POST,00-0033466,I.McKenzie,BUF,3,3,14.0,1,1.776990520651454,0.5923301735504847,2,0.6666666666666666,2.0,12.0,0.6666666666666666,4.0,2.0,0,1,1
2020,POST,00-0033528,J.Sprinkle,WAS,1,1,8.0,0,0.423322477377951,0.423322477377951,1,1.0,2.0,6.0,2.0,6.0,0.0,0,0,0
2020,POST,00-0033553,J.Conner,PIT,7,5,30.0,0,2.855366223404645,0.4079094604863779,5,0.7142857142857143,-9.0,39.0,-1.2857142857142858,7.8,2.0,0,2,0
2020,POST,00-0033589,D.Moore,SEA,1,1,1.0,0,-0.608087200671434,-0.608087200671434,0,0.0,-4.0,5.0,-4.0,5.0,0.0,0,0,0
2020,POST,00-0033594,C.Carson,SEA,2,1,5.0,0,-2.2444441522975254,-1.1222220761487627,1,0.5,25.0,9.0,12.5,9.0,0.0,0,0,0
2020,POST,00-0033757,R.Tonyan,GB,8,8,82.0,1,5.331237313395832,0.666404664174479,7,0.875,37.0,45.0,4.625,5.625,4.0,1,1,1
2020,POST,00-0033856,L.Fournette,TB,21,18,148.0,1,10.676299993239807,0.5083952377733242,16,0.7619047619047619,3.0,143.0,0.14285714285714285,7.944444444444445,10.0,1,2,1
2020,POST,00-0033857,J.Smith-Schuster,PIT,20,13,157.0,1,8.51402240899926,0.425701120449963,9,0.45,193.0,41.0,9.65,3.1538461538461537,7.0,3,4,1
2020,POST,00-0033858,J.Smith,TEN,3,2,9.0,0,-1.91588749107905,-0.6386291636930167,0,0.0,8.0,2.0,2.6666666666666665,1.0,0.0,0,0,0
2020,POST,00-0033871,C.Davis,TEN,2,0,0.0,0,-3.24862996457155,-1.624314982285775,0,0.0,12.0,0.0,6.0,0.0,0.0,0,0,0
2020,POST,00-0033885,D.Njoku,CLE,6,5,66.0,0,3.8643636214546855,0.6440606035757809,4,0.6666666666666666,28.0,40.0,4.666666666666667,8.0,3.0,2,0,0
2020,POST,00-0033895,G.Everett,LA,2,0,0.0,0,-2.0853872396983237,-1.0426936198491619,0,0.0,16.0,0.0,8.0,0.0,0.0,0,0,0
2020,POST,00-0033906,A.Kamara,NO,8,5,37.0,0,-5.6266785279149225,-0.7033348159893653,4,0.5,23.0,29.0,2.875,5.8,1.0,0,0,0
2020,POST,00-0033908,C.Kupp,LA,9,4,78.0,0,2.6770075705135197,0.2974452856126133,4,0.4444444444444444,161.0,7.0,17.88888888888889,1.75,3.0,1,0,0
2020,POST,00-0033921,C.Godwin,TB,32,16,232.0,1,10.629411930143021,0.3321691228169694,14,0.4375,340.0,104.0,10.625,6.5,10.0,2,2,0
2020,POST,00-0033923,K.Hunt,CLE,2,2,15.0,0,0.65972359268926,0.32986179634463,1,0.5,-9.0,24.0,-4.5,12.0,1.0,0,0,0
2020,POST,00-0033943,J.Reynolds,LA,4,3,65.0,0,4.0835968980099935,1.0208992245024984,3,0.75,47.0,23.0,11.75,7.666666666666667,3.0,2,0,0
2020,POST,00-0033948,J.Williams,GB,4,4,22.0,0,0.5113606134546,0.12784015336365,2,0.5,-4.0,26.0,-1.0,6.5,1.0,0,0,0
2020,POST,00-0034104,C.Sims,WAS,13,7,104.0,0,2.6851192047470245,0.2065476311343865,6,0.46153846153846156,160.0,23.0,12.307692307692308,3.2857142857142856,5.0,2,2,0
2020,POST,00-0034159,W.Dissly,SEA,2,1,1.0,0,-1.178845605812967,-0.5894228029064835,0,0.0,5.0,1.0,2.5,1.0,0.0,0,0,0
2020,POST,00-0034192,N.Keizer,KC,1,0,0.0,0,-0.461384366964921,-0.461384366964921,0,0.0,4.0,0.0,4.0,0.0,0.0,0,0,0
2020,POST,00-0034272,M.Valdes-Scantling,GB,14,8,148.0,1,8.374415318389246,0.598172522742089,9,0.6428571428571429,246.0,57.0,17.571428571428573,7.125,7.0,3,1,0
2020,POST,00-0034279,E.St. Brown,GB,4,2,37.0,0,2.458229129362851,0.6145572823407127,2,0.5,31.0,13.0,7.75,6.5,2.0,1,1,0
2020,POST,00-0034297,B.Pringle,KC,10,6,39.0,0,-0.9923920392757279,-0.0992392039275728,4,0.4,55.0,13.0,5.5,2.1666666666666665,2.0,0,1,0
2020,POST,00-0034301,Darr.Williams,KC,12,7,35.0,0,-4.5608140991287485,-0.38006784159406237,5,0.4166666666666667,-8.0,53.0,-0.6666666666666666,7.571428571428571,3.0,0,2,0
2020,POST,00-0034353,A.Miller,CHI,3,2,22.0,0,-1.015258593717593,-0.3384195312391977,1,0.3333333333333333,29.0,1.0,9.666666666666666,0.5,1.0,0,0,0
2020,POST,00-0034367,N.Hines,IND,3,1,8.0,0,0.8168511367985011,0.27228371226616704,1,0.3333333333333333,3.0,4.0,1.0,4.0,1.0,0,1,0
2020,POST,00-0034426,J.Wims,CHI,4,1,28.0,0,-1.071921626571568,-0.267980406642892,1,0.25,114.0,2.0,28.5,2.0,1.0,1,0,0
2020,POST,00-0034521,A.Lazard,GB,14,7,158.0,1,9.6752944154803,0.6910924582485929,7,0.5,196.0,58.0,14.0,8.285714285714286,7.0,4,4,0
2020,POST,00-0034613,T.Hudson,TB,1,0,0.0,0,-0.495957957347855,-0.495957957347855,0,0.0,19.0,0.0,19.0,0.0,0.0,0,1,0
2020,POST,00-0034652,C.Batson,TEN,1,1,6.0,0,1.40626233327203,1.40626233327203,1,1.0,4.0,2.0,4.0,2.0,1.0,0,0,0
2020,POST,00-0034676,J.Washington,PIT,6,5,72.0,0,2.7447486408927917,0.4574581068154653,4,0.6666666666666666,73.0,22.0,12.166666666666666,4.4,4.0,1,1,0
2020,POST,00-0034753,M.Andrews,BAL,17,8,69.0,0,-14.805551428736742,-0.8709147899256907,4,0.23529411764705882,118.0,25.0,6.9411764705882355,3.125,3.0,0,4,0
2020,POST,00-0034765,T.Smith,NO,3,3,85.0,2,9.17415845487266,3.058052818290887,3,1.0,57.0,28.0,19.0,9.333333333333334,3.0,1,1,1
2020,POST,00-0034791,N.Chubb,CLE,9,6,73.0,1,3.2113358859205587,0.35681509843561765,3,0.3333333333333333,-9.0,85.0,-1.0,14.166666666666666,2.0,2,1,0
2020,POST,00-0034816,R.Jones,TB,2,0,0.0,0,-1.155860597267747,-0.5779302986338735,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2020,POST,00-0034855,B.Mayfield,CLE,1,1,-8.0,0,-1.11156375519931,-1.11156375519931,0,0.0,-9.0,1.0,-9.0,1.0,0.0,0,0,0
