season,season_type,player_id,player_name,team,position,games,dropbacks,attempts,completions,passing_yards,passing_tds,interceptions,epa_per_play,success_rate,epa_total,success_plays,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_completion,air_epa_total,yac_epa_total,air_epa_per_play,yac_epa_per_play,first_down_passes,explosive_passes,third_down_attempts,third_down_conversions,third_down_conversion_rate,red_zone_targets,red_zone_pass_tds
2020,POST,00-0019596,T.Brady,TB,QB,,144,144,81,1024.0,10,3,0.2864219323405622,0.5069444444444444,41.24475825704096,73,1371.0,446.0,9.520833333333334,5.506172839506172,97.60951871148433,-45.978429341970035,0.6778438799408634,-0.31929464820812525,55.0,14,45,21,0.4666666666666667,24,7
2020,POST,00-0020531,D.Brees,NO,QB,,73,73,47,399.0,3,3,-0.15941425919680452,0.4383561643835616,-11.63724092136673,32,362.0,222.0,4.958904109589041,4.723404255319149,3.1655634064809695,-14.802804327847657,0.043363882280561226,-0.20277814147736517,20.0,2,20,11,0.55,8,3
2020,POST,00-0022924,B.Roethlisberger,PIT,QB,,71,71,47,503.0,4,4,0.09981933914134765,0.5352112676056338,7.087173079035683,38,565.0,183.0,7.957746478873239,3.893617021276596,35.44985190208534,-27.521678823049662,0.4992936887617654,-0.38762927919788254,29.0,5,12,6,0.5,16,3
2020,POST,00-0022942,P.Rivers,IND,QB,,47,47,27,311.0,2,0,0.3150283038694354,0.44680851063829785,14.806330281863465,21,352.0,115.0,7.48936170212766,4.2592592592592595,17.695902989886225,-3.942572708022759,0.3765085742528984,-0.08388452570261189,17.0,5,15,8,0.5333333333333333,12,1
2020,POST,00-0023459,A.Rodgers,GB,QB,,91,91,56,610.0,5,1,0.2070388128833946,0.5384615384615384,18.84053197238891,49,665.0,327.0,7.3076923076923075,5.839285714285714,49.82516666554153,-22.19875052483366,0.5475293040169399,-0.24394231345971054,34.0,10,20,11,0.55,18,3
2020,POST,00-0026197,C.Henne,KC,QB,,9,9,6,60.0,0,1,0.0004934436517510182,0.4444444444444444,0.0044409928657591635,4,79.0,30.0,8.777777777777779,5.0,6.211047104413211,-5.747434491349841,0.6901163449348012,-0.6386038323722045,4.0,2,3,2,0.6666666666666666,2,0
2020,POST,00-0029263,R.Wilson,SEA,QB,,32,32,11,142.0,2,1,-0.4852460851039095,0.25,-15.527874723325104,8,392.0,40.0,12.25,3.6363636363636362,18.93007473589388,-27.991708498812837,0.5915648354966837,-0.8747408905879012,5.0,3,9,1,0.1111111111111111,1,1
2020,POST,00-0029701,R.Tannehill,TEN,QB,,27,27,18,158.0,1,1,-0.016705005096312082,0.4444444444444444,-0.45103513760042624,12,188.0,70.0,6.962962962962963,3.888888888888889,11.085422403353746,-9.413942167090898,0.41057120012421283,-0.3486645247070703,9.0,2,10,4,0.4,4,1
2020,POST,00-0031503,J.Winston,NO,QB,,1,1,1,56.0,1,0,4.64410018059425,1.0,4.64410018059425,1,28.0,28.0,28.0,28.0,1.74332212086301,2.90077805973124,1.74332212086301,2.90077805973124,1.0,1,0,0,0.0,0,0
2020,POST,00-0031800,T.Heinicke,WAS,QB,,47,47,26,289.0,1,1,-0.013773388287440019,0.3829787234042553,-0.6473492495096809,18,385.0,91.0,8.191489361702128,3.5,22.654998898739013,-20.141798157750713,0.4820212531646598,-0.4285488969734194,15.0,4,12,5,0.4166666666666667,8,1
2020,POST,00-0033106,J.Goff,LA,QB,,53,53,30,290.0,2,0,0.017464633077419193,0.5094339622641509,0.9256255531032171,27,350.0,109.0,6.60377358490566,3.6333333333333333,14.428774798492647,-2.6705259481968917,0.27224103393382354,-0.050387282041450786,16.0,5,12,2,0.16666666666666666,6,2
2020,POST,00-0033357,T.Hill,NO,QB,,1,1,0,-3.0,0,0,-6.10818244109396,0.0,-6.10818244109396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
2020,POST,00-0033869,M.Trubisky,CHI,QB,,30,30,19,191.0,1,0,-0.08299952849435345,0.4,-2.4899858548306035,12,278.0,58.0,9.266666666666667,3.0526315789473686,11.569629348348816,-11.794540841830901,0.38565431161162717,-0.3931513613943634,8.0,2,9,1,0.1111111111111111,2,1
2020,POST,00-0033873,P.Mahomes,KC,QB,,121,121,76,823.0,4,2,0.15163141160963542,0.5206611570247934,18.347400804765886,63,772.0,464.0,6.380165289256198,6.105263157894737,39.52857016989876,-15.887756499876925,0.3266823980983368,-0.13130377272625557,43.0,9,21,6,0.2857142857142857,21,4
2020,POST,00-0034162,J.Scott,GB,QB,,1,1,0,0.0,0,0,-0.947,0.0,-0.947,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0
2020,POST,00-0034796,L.Jackson,BAL,QB,,56,56,31,303.0,0,2,-0.19237086379734344,0.42857142857142855,-10.772768372651234,24,386.0,130.0,6.892857142857143,4.193548387096774,28.438325861705202,-30.516349230530437,0.50782724753045,-0.5449348076880435,12.0,5,13,4,0.3076923076923077,5,0
2020,POST,00-0034855,B.Mayfield,CLE,QB,,72,72,44,459.0,4,1,0.12355132472709124,0.4027777777777778,8.895695380350569,29,419.0,261.0,5.819444444444445,5.931818181818182,25.203595267976045,-14.845686954980147,0.3500499342774451,-0.20619009659694648,23.0,8,19,7,0.3684210526315789,12,2
2020,POST,00-0034857,J.Allen,BUF,QB,,129,129,77,723.0,5,1,0.001715378686680732,0.4496124031007752,0.22128385058181443,58,1082.0,295.0,8.387596899224807,3.831168831168831,53.207356515234956,-36.657998772607414,0.4124601280250772,-0.2841705331209877,44.0,9,26,8,0.3076923076923077,24,4
2020,POST,00-0034899,J.Wolford,LA,QB,,7,7,3,29.0,0,0,-0.2071874642445313,0.2857142857142857,-1.4503122497117191,2,60.0,5.0,8.571428571428571,1.6666666666666667,5.016984578804109,-5.890225277282299,0.7167120826863014,-0.8414607538974713,2.0,0,1,0,0.0,0,0
2020,POST,00-0035993,T.Huntley,BAL,QB,,14,14,6,52.0,0,0,-0.46630888655948094,0.2857142857142857,-6.528324411832733,4,116.0,21.0,8.285714285714286,3.5,14.7992453397019,-19.837625855638187,1.05708895283585,-1.4169732754027276,3.0,1,3,1,0.3333333333333333,4,0
2020,REG,00-0019596,T.Brady,TB,QB,,633,633,401,4490.0,40,12,0.1890294040090637,0.4881516587677725,119.65561273773733,309,5532.0,1810.0,8.739336492890995,4.513715710723192,358.29090783122484,-203.55034024729792,0.5660203915185227,-0.32156451855813256,233.0,63,159,64,0.4025157232704403,101,28
2020,REG,00-0020531,D.Brees,NO,QB,,404,404,275,2853.0,24,6,0.1545432783944968,0.4975247524752475,62.43548447137671,201,2361.0,1478.0,5.844059405940594,5.374545454545455,103.26582914508344,-7.008993699952562,0.25560848798287983,-0.017348994306813272,149.0,31,104,37,0.3557692307692308,71,21
2020,REG,00-0022824,A.Lee,ARI,QB,,1,1,1,26.0,0,0,4.01401143427938,1.0,4.01401143427938,1,14.0,12.0,14.0,12.0,3.29460792941973,0.719403504859656,3.29460792941973,0.719403504859656,1.0,1,0,0,0.0,0,0
2020,REG,00-0022924,B.Roethlisberger,PIT,QB,,625,625,399,3689.0,33,10,0.07231567272990942,0.4656,45.19729545619339,291,4225.0,1942.0,6.76,4.867167919799499,175.7110552441933,-109.3250751495854,0.28113768839070924,-0.17492012023933665,193.0,43,170,71,0.4176470588235294,85,21
2020,REG,00-0022942,P.Rivers,IND,QB,,564,564,369,4053.0,24,11,0.16635644752208495,0.4946808510638298,93.82503640245591,279,3888.0,2226.0,6.8936170212765955,6.032520325203252,177.28744486926007,-51.69722892156612,0.3143394412575533,-0.09166175340703213,200.0,56,143,54,0.3776223776223776,87,17
2020,REG,00-0023436,A.Smith,WAS,QB,,274,274,168,1443.0,6,8,-0.13522201473040285,0.41605839416058393,-37.05083203613038,114,1286.0,949.0,4.693430656934306,5.648809523809524,-4.107621436237737,2.3882958280841233,-0.014991319110356702,0.00871640813169388,74.0,16,70,15,0.21428571428571427,36,5
2020,REG,00-0023459,A.Rodgers,GB,QB,,546,546,372,4117.0,48,5,0.3218827682600298,0.5366300366300366,175.74799146997628,293,4135.0,2248.0,7.573260073260073,6.043010752688172,240.64787939298546,-32.794029882468045,0.44074703185528474,-0.06006232579206602,216.0,57,142,66,0.4647887323943662,86,35
2020,REG,00-0023682,R.Fitzpatrick,MIA,QB,,283,283,183,2030.0,13,8,0.17206084175217348,0.5335689045936396,48.693218215865095,151,2080.0,854.0,7.34982332155477,4.666666666666667,137.98922957733157,-73.11517022539358,0.4875944508032918,-0.2583574919625215,106.0,24,65,25,0.38461538461538464,38,10
2020,REG,00-0024417,S.Koch,BAL,QB,,1,1,1,15.0,0,0,3.39332748652669,1.0,3.39332748652669,1,9.0,6.0,9.0,6.0,3.26854544231901,0.124782044207677,3.26854544231901,0.124782044207677,1.0,0,0,0,0.0,0,0
2020,REG,00-0025825,B.Kern,TEN,QB,,2,2,0,0.0,0,0,-1.411664357532515,0.0,-2.82332871506503,0,18.0,0.0,9.0,0.0,0.640208957920549,-2.51653767298558,0.3201044789602745,-1.25826883649279,0.0,0,0,0,0.0,1,0
2020,REG,00-0026143,M.Ryan,ATL,QB,,670,670,407,4326.0,26,11,0.08620576392958489,0.46567164179104475,57.757861832821874,312,5342.0,1642.0,7.973134328358209,4.034398034398034,345.7037888855275,-218.01086334182457,0.5159758043067575,-0.32538934827137994,242.0,58,170,69,0.40588235294117647,101,20
2020,REG,00-0026158,J.Flacco,NYJ,QB,,141,141,74,795.0,6,3,-0.06500065386020397,0.375886524822695,-9.165092194288759,53,1425.0,342.0,10.106382978723405,4.621621621621622,105.78926173664512,-102.84422717602457,0.7502784520329441,-0.729391682099465,36.0,11,43,12,0.27906976744186046,12,4
2020,REG,00-0026197,C.Henne,KC,QB,,40,40,28,244.0,2,0,0.3489071024385337,0.55,13.956284097541348,22,158.0,200.0,3.95,7.142857142857143,-0.2953146498184771,16.83297157255583,-0.007382866245461928,0.42082428931389576,15.0,2,9,5,0.5555555555555556,10,2
2020,REG,00-0026498,M.Stafford,DET,QB,,570,570,339,3834.0,26,10,0.09834894437513103,0.47543859649122805,56.05889829382469,271,4609.0,1738.0,8.085964912280701,5.126843657817109,278.38001126463865,-162.99374883079133,0.48838598467480465,-0.28595394531717777,205.0,54,150,59,0.3933333333333333,78,18
2020,REG,00-0026516,B.Colquitt,MIN,QB,,1,1,0,0.0,0,0,-0.947,0.0,-0.947,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0
2020,REG,00-0026544,C.Daniel,DET,QB,,46,46,29,235.0,1,2,-0.3251513372080135,0.3695652173913043,-14.95696151156862,17,275.0,119.0,5.978260869565218,4.103448275862069,3.5291655378532605,-12.913611325311475,0.07672098995333175,-0.28073068098503207,14.0,3,11,3,0.2727272727272727,5,1
2020,REG,00-0026625,B.Hoyer,NE,QB,,26,26,15,112.0,0,1,-0.35567868272848546,0.38461538461538464,-9.247645750940622,10,196.0,56.0,7.538461538461538,3.7333333333333334,13.699739767267594,-15.62199416795238,0.5269130679718306,-0.60084592953663,8.0,1,9,3,0.3333333333333333,3,0
2020,REG,00-0027150,J.Edelman,NE,QB,,2,2,2,38.0,0,0,1.7221524011693,1.0,3.4443048023386,2,-2.0,40.0,-1.0,20.0,-1.153367715422069,4.59767251776066,-0.5766838577110345,2.29883625888033,2.0,1,0,0,0.0,0,0
2020,REG,00-0027688,C.McCoy,NYG,QB,,72,72,40,353.0,1,1,-0.1195979547406649,0.375,-8.611052741327873,27,590.0,127.0,8.194444444444445,3.175,45.29051560419613,-47.82084326075209,0.6290349389471684,-0.6641783786215568,19.0,5,26,8,0.3076923076923077,11,1
